Material,Weight (kg),Transport Distance (km),Region,Virgin CO₂ (kg),Process CO₂ (kg),Transport CO₂ (kg),Net CO₂ Saved (kg)
Paper,3.75,10,USA,10.125,4.5,0.004,5.62
Paper,1.35,100,Germany,3.645,0.675,0.016,2.954
Glass,9.04,50,USA,14.464,10.848,0.054,3.562
Books,9.34,75,Germany,23.35,4.67,0.084,18.596
Books,0.48,25,India,1.2,0.96,0.001,0.239
Paper,2.2,50,USA,5.94,2.64,0.013,3.287
Clothes,6.58,75,EU,52.64,7.238,0.059,45.343
E-waste,3.3,100,Germany,39.6,1.65,0.04,37.91
Plastic,6.21,10,Germany,37.26,3.105,0.007,34.148
E-waste,4.58,25,India,54.96,9.16,0.014,45.786
Books,1.99,100,EU,4.975,2.189,0.024,2.762
Paper,1.95,10,EU,5.265,2.145,0.002,3.118
Glass,2.35,100,Germany,3.76,1.175,0.028,2.557
Glass,8.63,25,India,13.808,17.26,0.026,0.0
Paper,2.04,10,EU,5.508,2.244,0.002,3.262
Plastic,8.79,25,USA,52.74,10.548,0.026,42.166
Books,8.11,5,Germany,20.275,4.055,0.005,16.215
Books,4.88,100,India,12.2,9.76,0.059,2.381
Glass,9.46,100,India,15.136,18.92,0.114,0.0
Glass,8.86,100,USA,14.176,10.632,0.106,3.438
Plastic,7.18,75,India,43.08,14.36,0.065,28.655
Books,2.27,10,Germany,5.675,1.135,0.003,4.537
Plastic,6.59,25,USA,39.54,7.908,0.02,31.612
Books,6.78,75,USA,16.95,8.136,0.061,8.753
Clothes,6.68,5,India,53.44,13.36,0.004,40.076
Paper,9.66,100,India,26.082,19.32,0.116,6.646
Glass,2.78,25,USA,4.448,3.336,0.008,1.104
Books,4.29,75,Germany,10.725,2.145,0.039,8.541
Glass,2.05,75,EU,3.28,2.255,0.018,1.007
Plastic,0.93,50,Germany,5.58,0.465,0.006,5.109
E-waste,6.91,50,India,82.92,13.82,0.041,69.059
Clothes,7.7,5,EU,61.6,8.47,0.005,53.125
Plastic,6.44,10,India,38.64,12.88,0.008,25.752
Plastic,9.0,100,Germany,54.0,4.5,0.108,49.392
Plastic,6.55,75,USA,39.3,7.86,0.059,31.381
E-waste,0.49,100,EU,5.88,0.539,0.006,5.335
Clothes,0.27,5,India,2.16,0.54,0.0,1.62
Clothes,4.21,100,Germany,33.68,2.105,0.051,31.524
E-waste,8.08,50,USA,96.96,9.696,0.048,87.216
Clothes,6.61,5,EU,52.88,7.271,0.004,45.605
Glass,1.79,75,EU,2.864,1.969,0.016,0.879
Plastic,5.02,5,India,30.12,10.04,0.003,20.077
Paper,4.28,100,EU,11.556,4.708,0.051,6.797
Books,0.54,75,India,1.35,1.08,0.005,0.265
Plastic,2.01,50,India,12.06,4.02,0.012,8.028
E-waste,7.62,25,India,91.44,15.24,0.023,76.177
Clothes,1.36,5,EU,10.88,1.496,0.001,9.383
Paper,6.35,10,Germany,17.145,3.175,0.008,13.962
Plastic,2.17,5,EU,13.02,2.387,0.001,10.632
Clothes,6.93,100,Germany,55.44,3.465,0.083,51.892
Paper,7.17,100,Germany,19.359,3.585,0.086,15.688
Books,3.48,50,India,8.7,6.96,0.021,1.719
Books,3.85,75,Germany,9.625,1.925,0.035,7.665
Glass,2.22,75,India,3.552,4.44,0.02,0.0
E-waste,3.71,10,India,44.52,7.42,0.004,37.096
Glass,2.06,50,Germany,3.296,1.03,0.012,2.254
Paper,8.41,10,USA,22.707,10.092,0.01,12.605
E-waste,1.67,10,USA,20.04,2.004,0.002,18.034
Clothes,8.75,50,USA,70.0,10.5,0.053,59.447
Paper,9.47,75,EU,25.569,10.417,0.085,15.067
E-waste,1.73,75,EU,20.76,1.903,0.016,18.841
E-waste,0.58,10,EU,6.96,0.638,0.001,6.321
Plastic,9.14,25,EU,54.84,10.054,0.027,44.759
Paper,1.4,50,India,3.78,2.8,0.008,0.972
Paper,6.78,5,Germany,18.306,3.39,0.004,14.912
Books,3.0,75,USA,7.5,3.6,0.027,3.873
Glass,6.01,5,India,9.616,12.02,0.004,0.0
Books,6.58,25,Germany,16.45,3.29,0.02,13.14
Clothes,6.36,5,India,50.88,12.72,0.004,38.156
E-waste,5.16,10,EU,61.92,5.676,0.006,56.238
Paper,0.77,25,India,2.079,1.54,0.002,0.537
Books,3.4,50,India,8.5,6.8,0.02,1.68
Glass,8.84,10,India,14.144,17.68,0.011,0.0
Glass,0.98,75,EU,1.568,1.078,0.009,0.481
Glass,8.72,25,India,13.952,17.44,0.026,0.0
Clothes,6.77,10,Germany,54.16,3.385,0.008,50.767
Clothes,6.34,75,Germany,50.72,3.17,0.057,47.493
E-waste,3.28,100,India,39.36,6.56,0.039,32.761
Books,5.61,10,EU,14.025,6.171,0.007,7.847
Clothes,3.96,100,USA,31.68,4.752,0.048,26.88
Paper,3.17,75,India,8.559,6.34,0.029,2.19
Paper,1.52,25,EU,4.104,1.672,0.005,2.427
Books,3.82,50,Germany,9.55,1.91,0.023,7.617
Plastic,7.42,25,India,44.52,14.84,0.022,29.658
Clothes,0.49,100,EU,3.92,0.539,0.006,3.375
Paper,8.97,50,USA,24.219,10.764,0.054,13.401
Books,3.94,10,EU,9.85,4.334,0.005,5.511
Plastic,1.15,75,EU,6.9,1.265,0.01,5.625
Glass,6.11,5,India,9.776,12.22,0.004,0.0
Clothes,8.0,10,EU,64.0,8.8,0.01,55.19
Books,0.67,75,India,1.675,1.34,0.006,0.329
E-waste,6.11,50,EU,73.32,6.721,0.037,66.562
Paper,6.53,50,USA,17.631,7.836,0.039,9.756
Plastic,3.66,5,Germany,21.96,1.83,0.002,20.128
Books,9.51,25,India,23.775,19.02,0.029,4.726
Clothes,9.55,75,EU,76.4,10.505,0.086,65.809
Glass,3.43,25,USA,5.488,4.116,0.01,1.362
Plastic,3.66,100,India,21.96,7.32,0.044,14.596
Plastic,4.93,50,EU,29.58,5.423,0.03,24.127
Plastic,5.79,5,USA,34.74,6.948,0.003,27.789
Books,6.94,25,USA,17.35,8.328,0.021,9.001
Paper,5.85,100,USA,15.795,7.02,0.07,8.705
Glass,8.14,100,USA,13.024,9.768,0.098,3.158
E-waste,1.41,25,Germany,16.92,0.705,0.004,16.211
Paper,5.23,100,Germany,14.121,2.615,0.063,11.443
E-waste,3.42,10,EU,41.04,3.762,0.004,37.274
Plastic,3.89,75,USA,23.34,4.668,0.035,18.637
Plastic,7.75,75,USA,46.5,9.3,0.07,37.13
Glass,1.1,50,USA,1.76,1.32,0.007,0.433
Books,0.69,10,EU,1.725,0.759,0.001,0.965
E-waste,2.3,75,USA,27.6,2.76,0.021,24.819
Books,5.34,25,USA,13.35,6.408,0.016,6.926
E-waste,5.47,10,Germany,65.64,2.735,0.007,62.898
Glass,3.92,25,India,6.272,7.84,0.012,0.0
Plastic,4.73,75,USA,28.38,5.676,0.043,22.661
Plastic,0.23,25,EU,1.38,0.253,0.001,1.126
Clothes,7.01,50,USA,56.08,8.412,0.042,47.626
Plastic,8.98,25,India,53.88,17.96,0.027,35.893
Paper,5.01,10,Germany,13.527,2.505,0.006,11.016
Glass,1.68,100,India,2.688,3.36,0.02,0.0
Clothes,8.77,10,Germany,70.16,4.385,0.011,65.764
Paper,9.03,5,EU,24.381,9.933,0.005,14.443
Books,1.78,5,Germany,4.45,0.89,0.001,3.559
Clothes,0.64,50,Germany,5.12,0.32,0.004,4.796
Paper,8.92,75,EU,24.084,9.812,0.08,14.192
Plastic,0.33,10,USA,1.98,0.396,0.0,1.584
Books,5.18,25,EU,12.95,5.698,0.016,7.236
Glass,0.38,10,EU,0.608,0.418,0.0,0.19
Plastic,2.53,75,USA,15.18,3.036,0.023,12.121
Plastic,3.86,5,Germany,23.16,1.93,0.002,21.228
Books,2.35,75,EU,5.875,2.585,0.021,3.269
Plastic,5.31,75,EU,31.86,5.841,0.048,25.971
Glass,5.23,5,India,8.368,10.46,0.003,0.0
Paper,6.77,10,India,18.279,13.54,0.008,4.731
E-waste,5.0,100,USA,60.0,6.0,0.06,53.94
Clothes,6.79,100,Germany,54.32,3.395,0.081,50.844
Plastic,1.24,100,Germany,7.44,0.62,0.015,6.805
Glass,5.77,5,USA,9.232,6.924,0.003,2.305
Plastic,0.24,75,USA,1.44,0.288,0.002,1.15
Books,7.33,75,EU,18.325,8.063,0.066,10.196
Plastic,1.8,5,USA,10.8,2.16,0.001,8.639
Glass,4.85,75,USA,7.76,5.82,0.044,1.896
Plastic,4.5,75,USA,27.0,5.4,0.04,21.559
Clothes,2.7,10,USA,21.6,3.24,0.003,18.357
Glass,0.89,10,India,1.424,1.78,0.001,0.0
Plastic,3.0,75,India,18.0,6.0,0.027,11.973
Clothes,5.62,25,India,44.96,11.24,0.017,33.703
Glass,1.27,25,EU,2.032,1.397,0.004,0.631
Clothes,3.49,75,USA,27.92,4.188,0.031,23.701
Books,9.4,5,India,23.5,18.8,0.006,4.694
E-waste,0.77,50,India,9.24,1.54,0.005,7.695
Paper,4.27,100,Germany,11.529,2.135,0.051,9.343
Clothes,4.58,25,USA,36.64,5.496,0.014,31.13
E-waste,5.33,100,USA,63.96,6.396,0.064,57.5
Books,3.7,75,EU,9.25,4.07,0.033,5.147
Plastic,3.96,50,Germany,23.76,1.98,0.024,21.756
Glass,9.51,25,EU,15.216,10.461,0.029,4.726
Glass,4.92,25,USA,7.872,5.904,0.015,1.953
Clothes,4.25,5,Germany,34.0,2.125,0.003,31.872
E-waste,6.87,10,USA,82.44,8.244,0.008,74.188
Plastic,6.84,75,India,41.04,13.68,0.062,27.298
Books,9.75,25,USA,24.375,11.7,0.029,12.646
Plastic,0.78,5,India,4.68,1.56,0.0,3.12
Clothes,0.56,25,USA,4.48,0.672,0.002,3.806
Books,9.72,100,USA,24.3,11.664,0.117,12.519
E-waste,7.57,10,USA,90.84,9.084,0.009,81.747
E-waste,5.35,10,India,64.2,10.7,0.006,53.494
Plastic,2.54,100,USA,15.24,3.048,0.03,12.162
Glass,3.45,50,Germany,5.52,1.725,0.021,3.774
Glass,5.37,25,India,8.592,10.74,0.016,0.0
Paper,2.18,75,EU,5.886,2.398,0.02,3.468
Glass,6.65,10,USA,10.64,7.98,0.008,2.652
Plastic,6.97,75,Germany,41.82,3.485,0.063,38.272
Books,7.71,5,USA,19.275,9.252,0.005,10.018
Plastic,8.73,50,Germany,52.38,4.365,0.052,47.963
Plastic,1.94,5,Germany,11.64,0.97,0.001,10.669
Glass,4.46,100,EU,7.136,4.906,0.054,2.176
Paper,7.41,10,USA,20.007,8.892,0.009,11.106
Glass,3.34,75,India,5.344,6.68,0.03,0.0
E-waste,6.56,75,Germany,78.72,3.28,0.059,75.381
Plastic,6.76,25,EU,40.56,7.436,0.02,33.104
Clothes,5.83,100,EU,46.64,6.413,0.07,40.157
Paper,2.29,10,USA,6.183,2.748,0.003,3.432
E-waste,8.38,10,India,100.56,16.76,0.01,83.79
Plastic,9.51,10,Germany,57.06,4.755,0.011,52.294
Books,1.71,100,Germany,4.275,0.855,0.021,3.399
Books,8.82,5,Germany,22.05,4.41,0.005,17.635
Glass,4.99,25,India,7.984,9.98,0.015,0.0
Paper,1.28,10,USA,3.456,1.536,0.002,1.918
Books,3.0,75,EU,7.5,3.3,0.027,4.173
Plastic,3.78,100,Germany,22.68,1.89,0.045,20.745
Clothes,8.43,50,USA,67.44,10.116,0.051,57.273
Plastic,6.63,100,Germany,39.78,3.315,0.08,36.385
E-waste,4.95,25,India,59.4,9.9,0.015,49.485
Plastic,0.38,25,USA,2.28,0.456,0.001,1.823
Glass,5.46,100,EU,8.736,6.006,0.066,2.664
Paper,6.69,75,Germany,18.063,3.345,0.06,14.658
E-waste,9.28,100,USA,111.36,11.136,0.111,100.113
Clothes,1.1,10,Germany,8.8,0.55,0.001,8.249
Plastic,1.11,5,India,6.66,2.22,0.001,4.439
Paper,7.09,10,India,19.143,14.18,0.009,4.954
Books,6.6,25,USA,16.5,7.92,0.02,8.56
Plastic,6.28,25,EU,37.68,6.908,0.019,30.753
Plastic,2.53,100,USA,15.18,3.036,0.03,12.114
Paper,9.29,100,Germany,25.083,4.645,0.111,20.327
E-waste,9.69,50,EU,116.28,10.659,0.058,105.563
Paper,6.76,75,Germany,18.252,3.38,0.061,14.811
Plastic,2.07,10,India,12.42,4.14,0.002,8.278
Books,0.52,50,USA,1.3,0.624,0.003,0.673
Plastic,1.27,100,EU,7.62,1.397,0.015,6.208
Plastic,2.35,50,USA,14.1,2.82,0.014,11.266
Plastic,6.66,100,Germany,39.96,3.33,0.08,36.55
Books,0.25,25,EU,0.625,0.275,0.001,0.349
E-waste,2.23,75,Germany,26.76,1.115,0.02,25.625
Glass,9.53,100,EU,15.248,10.483,0.114,4.651
Plastic,2.56,10,Germany,15.36,1.28,0.003,14.077
Books,6.73,10,USA,16.825,8.076,0.008,8.741
E-waste,2.71,25,India,32.52,5.42,0.008,27.092
Paper,6.46,25,USA,17.442,7.752,0.019,9.671
E-waste,7.81,25,India,93.72,15.62,0.023,78.077
Glass,0.47,75,EU,0.752,0.517,0.004,0.231
Paper,5.23,25,USA,14.121,6.276,0.016,7.829
Plastic,7.56,100,USA,45.36,9.072,0.091,36.197
Glass,1.3,75,USA,2.08,1.56,0.012,0.508
Glass,8.18,50,USA,13.088,9.816,0.049,3.223
Clothes,2.32,100,USA,18.56,2.784,0.028,15.748
Plastic,8.98,75,Germany,53.88,4.49,0.081,49.309
Plastic,0.99,10,India,5.94,1.98,0.001,3.959
Paper,4.86,10,Germany,13.122,2.43,0.006,10.686
Paper,5.81,100,India,15.687,11.62,0.07,3.997
Plastic,4.64,75,EU,27.84,5.104,0.042,22.694
Paper,3.48,75,Germany,9.396,1.74,0.031,7.625
E-waste,5.85,10,India,70.2,11.7,0.007,58.493
Books,3.46,25,USA,8.65,4.152,0.01,4.488
Clothes,2.28,25,India,18.24,4.56,0.007,13.673
Glass,3.22,5,Germany,5.152,1.61,0.002,3.54
Paper,6.12,75,EU,16.524,6.732,0.055,9.737
Paper,4.83,5,EU,13.041,5.313,0.003,7.725
Books,2.32,75,USA,5.8,2.784,0.021,2.995
Paper,1.17,75,India,3.159,2.34,0.011,0.808
Books,2.26,5,India,5.65,4.52,0.001,1.129
E-waste,5.55,100,India,66.6,11.1,0.067,55.433
Plastic,1.41,100,Germany,8.46,0.705,0.017,7.738
Glass,8.71,50,EU,13.936,9.581,0.052,4.303
Books,8.74,10,USA,21.85,10.488,0.01,11.352
E-waste,5.0,100,India,60.0,10.0,0.06,49.94
Clothes,4.81,25,EU,38.48,5.291,0.014,33.175
E-waste,5.86,5,Germany,70.32,2.93,0.004,67.386
Clothes,9.12,50,USA,72.96,10.944,0.055,61.961
Glass,9.3,50,EU,14.88,10.23,0.056,4.594
E-waste,3.38,10,India,40.56,6.76,0.004,33.796
E-waste,3.63,10,USA,43.56,4.356,0.004,39.2
Paper,4.76,5,USA,12.852,5.712,0.003,7.137
Glass,1.34,100,Germany,2.144,0.67,0.016,1.458
Clothes,0.82,100,USA,6.56,0.984,0.01,5.566
Paper,9.99,25,India,26.973,19.98,0.03,6.963
Books,9.52,75,Germany,23.8,4.76,0.086,18.954
Plastic,2.13,10,USA,12.78,2.556,0.003,10.221
Books,2.1,100,India,5.25,4.2,0.025,1.025
Clothes,9.87,5,India,78.96,19.74,0.006,59.214
Clothes,8.14,5,EU,65.12,8.954,0.005,56.161
Books,6.8,50,India,17.0,13.6,0.041,3.359
Plastic,0.61,100,Germany,3.66,0.305,0.007,3.348
Glass,0.4,25,EU,0.64,0.44,0.001,0.199
E-waste,0.4,75,Germany,4.8,0.2,0.004,4.596
E-waste,3.53,100,Germany,42.36,1.765,0.042,40.553
Paper,3.44,100,USA,9.288,4.128,0.041,5.119
Plastic,4.29,100,India,25.74,8.58,0.051,17.109
Plastic,1.74,5,Germany,10.44,0.87,0.001,9.569
Clothes,8.58,25,USA,68.64,10.296,0.026,58.318
Glass,8.92,10,India,14.272,17.84,0.011,0.0
Books,5.16,50,USA,12.9,6.192,0.031,6.677
Paper,7.96,25,USA,21.492,9.552,0.024,11.916
Books,0.51,75,USA,1.275,0.612,0.005,0.658
Clothes,9.63,100,India,77.04,19.26,0.116,57.664
E-waste,6.92,50,USA,83.04,8.304,0.042,74.694
Books,9.63,25,Germany,24.075,4.815,0.029,19.231
Glass,7.74,5,USA,12.384,9.288,0.005,3.091
Glass,2.23,10,Germany,3.568,1.115,0.003,2.45
Paper,4.92,25,Germany,13.284,2.46,0.015,10.809
Plastic,3.99,75,USA,23.94,4.788,0.036,19.116
Plastic,0.6,25,Germany,3.6,0.3,0.002,3.298
Books,3.87,25,EU,9.675,4.257,0.012,5.406
Glass,3.45,10,Germany,5.52,1.725,0.004,3.791
Books,1.28,25,India,3.2,2.56,0.004,0.636
E-waste,1.78,5,USA,21.36,2.136,0.001,19.223
Books,0.31,25,India,0.775,0.62,0.001,0.154
Clothes,4.02,100,Germany,32.16,2.01,0.048,30.102
E-waste,6.71,10,USA,80.52,8.052,0.008,72.46
Paper,0.6,100,Germany,1.62,0.3,0.007,1.313
Plastic,7.68,25,USA,46.08,9.216,0.023,36.841
Glass,4.26,50,EU,6.816,4.686,0.026,2.104
Plastic,6.43,100,EU,38.58,7.073,0.077,31.43
Plastic,4.55,25,EU,27.3,5.005,0.014,22.281
Books,2.28,10,India,5.7,4.56,0.003,1.137
Paper,2.85,25,Germany,7.695,1.425,0.009,6.261
Paper,4.49,100,EU,12.123,4.939,0.054,7.13
Paper,0.39,25,Germany,1.053,0.195,0.001,0.857
Books,9.42,100,Germany,23.55,4.71,0.113,18.727
Glass,6.41,100,Germany,10.256,3.205,0.077,6.974
Glass,0.34,5,EU,0.544,0.374,0.0,0.17
Clothes,8.89,25,EU,71.12,9.779,0.027,61.314
E-waste,5.35,100,EU,64.2,5.885,0.064,58.251
Books,8.98,5,EU,22.45,9.878,0.005,12.567
Paper,6.57,5,EU,17.739,7.227,0.004,10.508
Clothes,0.45,5,EU,3.6,0.495,0.0,3.105
Plastic,6.97,25,Germany,41.82,3.485,0.021,38.314
E-waste,1.86,100,India,22.32,3.72,0.022,18.578
E-waste,0.5,10,India,6.0,1.0,0.001,4.999
Books,6.52,5,USA,16.3,7.824,0.004,8.472
Clothes,5.44,10,Germany,43.52,2.72,0.007,40.793
Glass,4.31,100,India,6.896,8.62,0.052,0.0
Clothes,7.12,5,USA,56.96,8.544,0.004,48.412
Glass,0.56,5,EU,0.896,0.616,0.0,0.28
Clothes,7.28,50,EU,58.24,8.008,0.044,50.188
Paper,7.27,50,EU,19.629,7.997,0.044,11.588
Books,9.17,100,EU,22.925,10.087,0.11,12.728
Glass,6.04,10,USA,9.664,7.248,0.007,2.409
E-waste,7.05,50,India,84.6,14.1,0.042,70.458
Paper,7.67,50,EU,20.709,8.437,0.046,12.226
Paper,2.06,50,India,5.562,4.12,0.012,1.43
E-waste,8.12,50,Germany,97.44,4.06,0.049,93.331
E-waste,8.98,10,USA,107.76,10.776,0.011,96.973
Paper,1.41,50,Germany,3.807,0.705,0.008,3.094
Paper,4.4,75,USA,11.88,5.28,0.04,6.56
Paper,8.81,100,EU,23.787,9.691,0.106,13.99
Glass,7.9,50,EU,12.64,8.69,0.047,3.903
E-waste,3.88,25,Germany,46.56,1.94,0.012,44.608
Glass,8.1,50,Germany,12.96,4.05,0.049,8.861
Plastic,4.95,75,India,29.7,9.9,0.045,19.755
Plastic,5.74,5,USA,34.44,6.888,0.003,27.549
Glass,7.21,5,USA,11.536,8.652,0.004,2.88
E-waste,2.89,75,USA,34.68,3.468,0.026,31.186
Plastic,3.25,5,USA,19.5,3.9,0.002,15.598
E-waste,0.26,100,EU,3.12,0.286,0.003,2.831
E-waste,7.53,50,India,90.36,15.06,0.045,75.255
Clothes,4.97,5,EU,39.76,5.467,0.003,34.29
Plastic,6.49,75,EU,38.94,7.139,0.058,31.743
Clothes,4.67,100,India,37.36,9.34,0.056,27.964
Paper,6.41,50,Germany,17.307,3.205,0.038,14.064
E-waste,6.01,100,India,72.12,12.02,0.072,60.028
Clothes,4.63,10,EU,37.04,5.093,0.006,31.941
Books,7.71,5,India,19.275,15.42,0.005,3.85
E-waste,7.38,100,EU,88.56,8.118,0.089,80.353
Clothes,9.16,75,India,73.28,18.32,0.082,54.878
E-waste,4.39,10,Germany,52.68,2.195,0.005,50.48
Paper,2.14,10,EU,5.778,2.354,0.003,3.421
Paper,1.1,75,India,2.97,2.2,0.01,0.76
Paper,1.03,25,India,2.781,2.06,0.003,0.718
Plastic,1.07,10,USA,6.42,1.284,0.001,5.135
Books,2.58,25,Germany,6.45,1.29,0.008,5.152
Books,5.66,25,Germany,14.15,2.83,0.017,11.303
Books,1.35,50,EU,3.375,1.485,0.008,1.882
Clothes,8.03,10,India,64.24,16.06,0.01,48.17
Glass,4.91,25,USA,7.856,5.892,0.015,1.949
E-waste,0.37,25,Germany,4.44,0.185,0.001,4.254
Clothes,1.47,75,EU,11.76,1.617,0.013,10.13
Clothes,2.96,75,Germany,23.68,1.48,0.027,22.173
Paper,1.66,10,EU,4.482,1.826,0.002,2.654
Plastic,9.99,100,EU,59.94,10.989,0.12,48.831
E-waste,0.36,10,Germany,4.32,0.18,0.0,4.14
Books,8.55,25,USA,21.375,10.26,0.026,11.089
Paper,8.44,50,Germany,22.788,4.22,0.051,18.517
Plastic,8.58,100,India,51.48,17.16,0.103,34.217
Paper,8.29,25,Germany,22.383,4.145,0.025,18.213
Books,9.98,10,Germany,24.95,4.99,0.012,19.948
Paper,9.14,25,USA,24.678,10.968,0.027,13.683
E-waste,6.93,100,EU,83.16,7.623,0.083,75.454
Clothes,4.95,75,USA,39.6,5.94,0.045,33.615
E-waste,5.85,100,Germany,70.2,2.925,0.07,67.205
Plastic,6.02,75,India,36.12,12.04,0.054,24.026
Paper,3.05,75,Germany,8.235,1.525,0.027,6.683
Glass,8.44,25,EU,13.504,9.284,0.025,4.195
Glass,4.95,10,India,7.92,9.9,0.006,0.0
E-waste,8.67,10,India,104.04,17.34,0.01,86.69
Paper,5.13,50,India,13.851,10.26,0.031,3.56
Paper,5.52,100,EU,14.904,6.072,0.066,8.766
Plastic,6.43,50,EU,38.58,7.073,0.039,31.468
Paper,2.39,10,India,6.453,4.78,0.003,1.67
Books,6.48,10,USA,16.2,7.776,0.008,8.416
Paper,9.77,5,Germany,26.379,4.885,0.006,21.488
Glass,8.06,25,Germany,12.896,4.03,0.024,8.842
Books,6.81,50,EU,17.025,7.491,0.041,9.493
Clothes,4.04,10,Germany,32.32,2.02,0.005,30.295
Paper,2.07,25,Germany,5.589,1.035,0.006,4.548
Books,5.47,5,Germany,13.675,2.735,0.003,10.937
E-waste,9.61,25,USA,115.32,11.532,0.029,103.759
E-waste,9.03,100,Germany,108.36,4.515,0.108,103.737
Paper,1.2,100,Germany,3.24,0.6,0.014,2.626
Clothes,2.36,25,EU,18.88,2.596,0.007,16.277
Plastic,9.47,75,India,56.82,18.94,0.085,37.795
E-waste,3.41,75,EU,40.92,3.751,0.031,37.138
Glass,8.78,50,India,14.048,17.56,0.053,0.0
Plastic,0.82,5,Germany,4.92,0.41,0.0,4.51
Glass,4.79,5,USA,7.664,5.748,0.003,1.913
Clothes,5.92,100,EU,47.36,6.512,0.071,40.777
E-waste,2.61,50,Germany,31.32,1.305,0.016,29.999
Glass,7.39,75,India,11.824,14.78,0.067,0.0
E-waste,9.68,50,EU,116.16,10.648,0.058,105.454
Paper,3.81,50,Germany,10.287,1.905,0.023,8.359
Books,3.27,10,EU,8.175,3.597,0.004,4.574
Books,0.29,10,India,0.725,0.58,0.0,0.145
Books,4.03,100,Germany,10.075,2.015,0.048,8.012
Glass,4.26,25,Germany,6.816,2.13,0.013,4.673
Glass,1.32,100,Germany,2.112,0.66,0.016,1.436
Clothes,4.54,5,USA,36.32,5.448,0.003,30.869
Glass,9.64,25,India,15.424,19.28,0.029,0.0
E-waste,1.8,25,India,21.6,3.6,0.005,17.995
Plastic,6.14,5,Germany,36.84,3.07,0.004,33.766
Clothes,8.72,50,Germany,69.76,4.36,0.052,65.348
Glass,5.3,25,Germany,8.48,2.65,0.016,5.814
E-waste,0.47,5,India,5.64,0.94,0.0,4.7
E-waste,9.05,75,India,108.6,18.1,0.081,90.419
E-waste,6.47,50,Germany,77.64,3.235,0.039,74.366
Clothes,3.22,50,USA,25.76,3.864,0.019,21.877
Clothes,1.82,50,India,14.56,3.64,0.011,10.909
Glass,5.91,10,Germany,9.456,2.955,0.007,6.494
Books,5.01,100,USA,12.525,6.012,0.06,6.453
Plastic,4.09,5,USA,24.54,4.908,0.002,19.63
Glass,3.17,75,Germany,5.072,1.585,0.029,3.458
Plastic,2.86,75,EU,17.16,3.146,0.026,13.988
Glass,8.57,50,India,13.712,17.14,0.051,0.0
Glass,3.06,50,USA,4.896,3.672,0.018,1.206
Paper,1.7,50,USA,4.59,2.04,0.01,2.54
Glass,3.98,25,USA,6.368,4.776,0.012,1.58
Paper,9.1,75,EU,24.57,10.01,0.082,14.478
Glass,6.71,10,India,10.736,13.42,0.008,0.0
Books,5.84,50,Germany,14.6,2.92,0.035,11.645
Glass,3.52,5,USA,5.632,4.224,0.002,1.406
Clothes,2.4,50,USA,19.2,2.88,0.014,16.306
Paper,8.99,5,India,24.273,17.98,0.005,6.288
Paper,6.63,75,EU,17.901,7.293,0.06,10.548
Clothes,1.97,100,Germany,15.76,0.985,0.024,14.751
E-waste,8.87,50,USA,106.44,10.644,0.053,95.743
Books,4.43,10,USA,11.075,5.316,0.005,5.754
Glass,8.86,75,Germany,14.176,4.43,0.08,9.666
Glass,3.61,75,Germany,5.776,1.805,0.032,3.939
Books,9.73,100,Germany,24.325,4.865,0.117,19.343
Paper,6.06,25,USA,16.362,7.272,0.018,9.072
Plastic,0.29,10,Germany,1.74,0.145,0.0,1.595
Clothes,7.11,5,India,56.88,14.22,0.004,42.656
E-waste,6.35,100,EU,76.2,6.985,0.076,69.139
Clothes,7.31,10,USA,58.48,8.772,0.009,49.699
Books,1.61,50,EU,4.025,1.771,0.01,2.244
Paper,0.25,50,Germany,0.675,0.125,0.002,0.549
Glass,0.44,50,USA,0.704,0.528,0.003,0.173
Plastic,2.13,5,Germany,12.78,1.065,0.001,11.714
Books,5.7,100,USA,14.25,6.84,0.068,7.342
Glass,4.92,100,USA,7.872,5.904,0.059,1.909
Clothes,2.35,75,USA,18.8,2.82,0.021,15.959
E-waste,8.97,5,Germany,107.64,4.485,0.005,103.15
Clothes,6.4,10,USA,51.2,7.68,0.008,43.512
Glass,8.1,5,USA,12.96,9.72,0.005,3.235
Glass,2.11,10,EU,3.376,2.321,0.003,1.052
Clothes,5.49,25,USA,43.92,6.588,0.016,37.316
Glass,2.94,25,Germany,4.704,1.47,0.009,3.225
Glass,1.94,10,USA,3.104,2.328,0.002,0.774
Books,3.16,5,USA,7.9,3.792,0.002,4.106
E-waste,7.54,25,USA,90.48,9.048,0.023,81.409
Glass,3.27,50,Germany,5.232,1.635,0.02,3.577
Paper,8.9,75,Germany,24.03,4.45,0.08,19.5
Clothes,2.45,5,India,19.6,4.9,0.001,14.699
E-waste,3.38,10,India,40.56,6.76,0.004,33.796
Clothes,5.2,100,India,41.6,10.4,0.062,31.138
E-waste,2.36,5,Germany,28.32,1.18,0.001,27.139
Clothes,9.93,50,Germany,79.44,4.965,0.06,74.415
E-waste,8.78,5,USA,105.36,10.536,0.005,94.819
Clothes,9.06,100,EU,72.48,9.966,0.109,62.405
Plastic,1.83,75,EU,10.98,2.013,0.016,8.951
Clothes,6.15,10,EU,49.2,6.765,0.007,42.428
E-waste,2.57,25,EU,30.84,2.827,0.008,28.005
Glass,1.07,75,EU,1.712,1.177,0.01,0.525
Clothes,9.25,75,USA,74.0,11.1,0.083,62.817
Clothes,2.14,25,USA,17.12,2.568,0.006,14.546
